"","x","t","a","m","r","c","l","s","f","o","h","p","d","b"
"x",0,7,3,1,2,8,4,2,1,0,0,0,0,6
"t",0,9,4,2,3,10,6,3,2,0,0,0,0,7
"a",0,4,2,1,1,5,2,1,0,0,0,0,0,3
"m",0,2,1,0,0,2,1,0,0,0,0,0,0,1
"r",0,3,1,0,0,3,1,1,0,0,0,0,0,2
"c",0,10,5,2,3,11,6,4,2,0,0,0,0,8
"l",0,6,2,1,1,6,3,2,1,0,0,0,0,4
"s",0,3,1,0,1,4,2,1,0,0,0,0,0,2
"f",0,2,0,0,0,2,1,0,0,0,0,0,0,1
"o",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b",0,0,0,0,0,0,0,0,0,0,0,0,0,0
